GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-de-judocas,com.example.view.forms,AlunoForm,165,0,4,0,50,0,13,0,11,0
sistema-de-judocas,com.example.view.forms,ProfessorForm,142,0,4,0,35,0,11,0,9,0
sistema-de-judocas,com.example.view.forms,CamposBuscaForm,28,0,0,0,9,0,5,0,5,0
sistema-de-judocas,com.example.view.forms,EntidadeForm,131,0,0,0,36,0,13,0,13,0
sistema-de-judocas,com.example.view.forms,EnderecoForm,143,0,0,0,39,0,16,0,16,0
sistema-de-judocas,com.example.view.forms,FiliadoForm.AdicionarFaixaActionHandler,29,0,0,0,4,0,2,0,2,0
sistema-de-judocas,com.example.view.forms,FiliadoForm,358,0,4,0,85,0,31,0,29,0
sistema-de-judocas,com.example.view.forms,ProfessorForm.AdicionarEntidadeActionHandler,23,0,0,0,4,0,2,0,2,0
sistema-de-judocas,com.example.util,Main,130,0,4,0,36,0,5,0,3,0
sistema-de-judocas,com.example.util,FiliadoID,48,0,2,0,15,0,5,0,4,0
sistema-de-judocas,com.example.util,CloseTabIcon,58,0,2,0,13,0,5,0,4,0
sistema-de-judocas,com.example.util,CorFaixa,221,0,0,0,44,0,5,0,5,0
sistema-de-judocas,com.example.util,CloseTabIcon.new MouseAdapter() {...},31,0,4,0,6,0,4,0,2,0
sistema-de-judocas,com.example.util,DatabaseManager,31,0,4,0,13,0,8,0,6,0
sistema-de-judocas,com.example.model.validator,AlunoValidator,5,0,0,0,2,0,2,0,2,0
sistema-de-judocas,com.example.view.gui,ProfessorAtualizarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,AlunoAtualizarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,EnderecoPanel,281,0,0,0,56,0,8,0,8,0
sistema-de-judocas,com.example.view.gui,EntidadeCadastrarPanel,122,0,0,0,26,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,MainAppFrame.new WindowAdapter() {...},16,0,0,0,5,0,3,0,3,0
sistema-de-judocas,com.example.view.gui,EntidadePanel,210,0,0,0,43,0,7,0,7,0
sistema-de-judocas,com.example.view.gui,ProfessorPanel,197,0,0,0,39,0,6,0,6,0
sistema-de-judocas,com.example.view.gui,EntidadeAtualizarPanel,122,0,0,0,26,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,MainAppFrame,911,0,0,0,173,0,6,0,6,0
sistema-de-judocas,com.example.view.gui,AlunoBuscarPanel,244,0,2,0,50,0,11,0,10,0
sistema-de-judocas,com.example.view.gui,ProfessorCadastrarPanel,166,0,0,0,34,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,FiliadoPanel.new DefaultTableModel() {...},42,0,0,0,5,0,3,0,3,0
sistema-de-judocas,com.example.view.gui,AlunoPanel,155,0,0,0,31,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,BuscaCamposPanel,102,0,0,0,23,0,4,0,4,0
sistema-de-judocas,com.example.view.gui,AlunoCadastrarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,SobrePanel,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,com.example.view.gui,Splash,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,com.example.view.gui,EntidadeBuscarPanel,187,0,0,0,34,0,5,0,5,0
sistema-de-judocas,com.example.view.gui,FiliadoPanel,711,0,0,0,135,0,17,0,17,0
sistema-de-judocas,com.example.view.gui,AlunoBuscarPanel.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view.gui,ProfessorBuscarPanel,196,0,0,0,33,0,5,0,5,0
sistema-de-judocas,com.example.model.dao,DAOImpl,147,0,14,0,45,0,16,0,9,0
sistema-de-judocas,com.example.model.dao,DAOImpl.DefaultValidator,8,0,0,0,2,0,2,0,2,0
sistema-de-judocas,com.example.model.beans,Professor,68,0,6,0,16,0,11,0,8,0
sistema-de-judocas,com.example.model.beans,Faixa,39,0,0,0,13,0,7,0,7,0
sistema-de-judocas,com.example.model.beans,Filiado,227,0,6,0,66,0,34,0,31,0
sistema-de-judocas,com.example.model.beans,Endereco,80,0,0,0,20,0,14,0,14,0
sistema-de-judocas,com.example.model.beans,Aluno,87,0,8,0,22,0,15,0,11,0
sistema-de-judocas,com.example.model.beans,ProfessorEntidade,60,0,6,0,16,0,10,0,7,0
sistema-de-judocas,com.example.model.beans,Entidade,94,0,6,0,29,0,18,0,15,0
sistema-de-judocas,com.example.model.beans,Rg,60,0,6,0,17,0,11,0,8,0
sistema-de-judocas,com.example.business,EntidadeBOImpl,107,0,0,0,41,0,7,0,7,0
sistema-de-judocas,com.example.business,AlunoBOImpl,122,0,2,0,46,0,8,0,7,0
sistema-de-judocas,com.example.business,ProfessorBOImpl,109,0,0,0,41,0,7,0,7,0
sistema-de-judocas,com.example.business,ProfessorEntidadeBOImpl,55,0,2,0,18,0,4,0,3,0
sistema-de-judocas,com.example.view,AlunoCadastrarView.CadastrarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,com.example.view,EntidadeAtualizarView.AtualizarActionHandler,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,com.example.view,ProfessorBuscarView.TableProfessoresMouseClickedHandler,34,0,0,0,8,0,6,0,6,0
sistema-de-judocas,com.example.view,AlunoCadastrarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,com.example.view,ProfessorAtualizarView.AtualizarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,com.example.view,ProfessorCadastrarView.CadastrarActionHandler,66,0,2,0,15,0,3,0,2,0
sistema-de-judocas,com.example.view,MainAppView,408,0,8,0,118,0,31,0,27,0
sistema-de-judocas,com.example.view,AlunoBuscarView.BuscarActionHandler,10,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,ProfessorAtualizarView,43,0,0,0,10,0,3,0,3,0
sistema-de-judocas,com.example.view,EntidadeCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,EntidadeCadastrarView.CadastrarActionHandler,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,com.example.view,ProfessorAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,ProfessorCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,EntidadeAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,AlunoBuscarView,220,0,10,0,48,0,17,0,12,0
sistema-de-judocas,com.example.view,EntidadeCadastrarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,com.example.view,ProfessorBuscarView.BuscarActionHandler,16,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,AlunoAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,AlunoAtualizarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,com.example.view,ProfessorBuscarView,209,0,8,0,45,0,15,0,11,0
sistema-de-judocas,com.example.view,AlunoCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,com.example.view,EntidadeBuscarView.BuscarActionHandler,24,0,4,0,6,0,4,0,2,0
sistema-de-judocas,com.example.view,ProfessorCadastrarView,42,0,0,0,10,0,3,0,3,0
sistema-de-judocas,com.example.view,EntidadeBuscarView.TableMouseClickedHandler,39,0,2,0,9,0,7,0,6,0
sistema-de-judocas,com.example.view,EntidadeAtualizarView,47,0,0,0,11,0,3,0,3,0
sistema-de-judocas,com.example.view,EntidadeBuscarView,164,0,2,0,35,0,10,0,9,0
sistema-de-judocas,com.example.view,AlunoAtualizarView.AtualizarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,com.example.facade,AppFacadeImpl,192,0,0,0,81,0,15,0,15,0
